user,text
Miss_massG,@bellz_motshwane A tv ğŸ¤§
molosiwaf,@bellz_motshwane Dishwasher &amp; automatic laundry machine. ooh and air fryerğŸ¤”
K_Tseka,@bellz_motshwane A 65' plasma
FaithG007,@bellz_motshwane Smart TV and Instant pot + air fryer!! ğŸ™†ğŸ½â€â™€ï¸
bridgitkare,"@bellz_motshwane Camera,phone and skin care"
rees_charlene,@bellz_motshwane Tv and laptop
IamMrsHappiness,@bellz_motshwane Wish to find some peace of mind for sale... The girl is tired!!
susu_nessa,@bellz_motshwane A small couch and television set
ntshedi_,@bellz_motshwane Gas braai stand + air fryer
OMG_its_Bee,@bellz_motshwane A weighted blanket. It apparently improves sleep. I'm counting down the days.  Also seriously considering a small UPS.
Amari_444,@bellz_motshwane AirPodsğŸ˜…ğŸ˜…
ThuliPatch,@bellz_motshwane A washing machine
defsown7,@bellz_motshwane A washing machine and a vacuum cleaner ğŸ˜­
TshidiMot,@bellz_motshwane Airfryer &amp; Ice cream maker
WenzG,@bellz_motshwane All swimming pool stuff
Beaulahm,@bellz_motshwane @CoriumSkincare
ayandachabalala,@bellz_motshwane Airfryer
mosadi_,@bellz_motshwane A bigger fridge ğŸ¥²
Linneth_tshego,@bellz_motshwane https://t.co/Od9GJl2gae
_ToxicCandiie_,@bellz_motshwane Furniture for our new place
kksplly,"@bellz_motshwane Pots. Bedding, cushions."
tebogo_ramaboa,"@bellz_motshwane Nothing really sis, Ke rata dilo fela shemâ€¦ğŸ˜¬ğŸ˜­ğŸ˜­"
lebone_tjie,"@bellz_motshwane A new desk and chair for my ""home office"""
Andi_Tink,"@bellz_motshwane A new phone (it's been 4 years), new Headboard and bar stools!"
bellz_motshwane,These responses are real adult purchases. When did we get here guys ğŸ˜­ğŸ˜­ğŸ˜­
Gulwana_Gumede,"@bellz_motshwane De'Longhi pump espresso, washing machine and Nutribullet pro blender if I can manage to sell my kidney before 26 Nov."
I_AM_MISS_BEE,@bellz_motshwane Sound bar
_yenkosi_m,@bellz_motshwane Washing machine ğŸ¥º
morweedi,@bellz_motshwane Pressure cooker
khomotsomat,@bellz_motshwane Fridge
Ms_Tyby,@bellz_motshwane Wedding Rings ğŸ˜¬
Nonny_m_,@bellz_motshwane External hard drive
Hunadi_C,@bellz_motshwane Tv and sound bar but I was told that the TV I want won't be marked down
Kat_Maj3,@bellz_motshwane A proper fitness/smart watch and air fryer ğŸ˜€
Kerotse_K,@bellz_motshwane Outdoor furniture
Cani_Mannah,@bellz_motshwane air fryer ğŸ˜‚ğŸ˜‚ğŸ˜‚
Malberg15,@bellz_motshwane School cadii
Mmab27,@bellz_motshwane https://t.co/LdV1Npjrug
T_Thori,@bellz_motshwane TV
Poalos,"@bellz_motshwane External drive, Screen, Camera &amp; iPhone"
TK_Maja,@bellz_motshwane hopefully a Samsung Smart TV. i want a new phone too.   ğŸ¤§ğŸ˜©
KbzFire,@bellz_motshwane A drop top C 63 AMG For no more than R2000...
QueenManxie,@bellz_motshwane Skincare
Sbuda_Hanma,@bellz_motshwane Proper lighting
khula_elc,@bellz_motshwane Buying low hanging fruit shares via @EasyEquities
Funo_Mud,@bellz_motshwane A Fridge
l_motshidisi,@bellz_motshwane Black Friday sales are very scammy ğŸ˜­
These_tears,@bellz_motshwane A sound bar
funie_nems,@bellz_motshwane Bosch kitchen machine for my business. The one I have broke. ğŸ˜©
CheeseboyLuke,@bellz_motshwane Yoh thereâ€™s that thing
ThembalamiMung1,@bellz_motshwane Tree cutter
